0518 2 0.0209682
0518 3 0.0104841
0518 4 0.0104841
0518 5 0.0104841
1505.3 4 0.0166169
157 2 0.0166169
2021 2 0.0209682
2021 3 0.0104841
2021 4 0.0209682
2021 5 0.0104841
300 2 0.0166169
333 3 0.0104841
333 5 0.0104841
400 2 0.0166169
42199.1 4 0.0166169
500 3 0.0104841
500 5 0.0104841
600 4 0.0166169
631 4 0.0166169
699 2 0.0166169
APP 3 0.0166169
App 2 0.0332339
MAIN202105181435000205476402897 5 0.0166169
MAIN202105181508000412565128648 4 0.0166169
MAIN202105181640000036334285056 2 0.0166169
MAIN202105181640000171007971393 2 0.0166169
MAIN202105181703000117678560666 3 0.0166169
NMediaFile 2 0.0209682
NMediaFile 3 0.0104841
NMediaFile 4 0.0104841
NMediaFile 5 0.0104841
PCCM 5 0.0166169
align 2 0.0209682
align 3 0.0104841
align 4 0.0104841
align 5 0.0209682
alt 2 0.0209682
alt 3 0.0104841
alt 4 0.0104841
alt 5 0.0104841
center 2 0.0209682
center 3 0.0104841
center 4 0.0104841
center 5 0.0209682
family 5 0.0166169
font 5 0.0166169
height 2 0.0209682
height 3 0.0104841
height 4 0.0104841
height 5 0.0104841
img 2 0.0209682
img 3 0.0104841
img 4 0.0104841
img 5 0.0104841
indent 1 0
indent 2 0
indent 3 0
indent 4 0
indent 5 0
jpg 2 0.0104841
jpg 3 0.0104841
jpg 4 0.0104841
nbsp 2 0.0332339
png 2 0.0104841
png 5 0.0104841
rmwjkpd 2 0.0166169
span 5 0.0332339
src 2 0.0209682
src 3 0.0104841
src 4 0.0104841
src 5 0.0104841
strong 2 0.0664677
style 1 0
style 2 0
style 3 0
style 4 0
style 5 0
text 1 0
text 2 0
text 3 0
text 4 0
text 5 0
width 2 0.0209682
width 3 0.0104841
width 4 0.0104841
width 5 0.0104841
‘ 3 0.0332339
’ 3 0.0332339
一个 3 0.0419365
一个 5 0.0104841
一定 1 0.0166169
一是 1 0.0166169
一生 3 0.0166169
一系列 1 0.0166169
一部分 1 0.0332339
万剂 4 0.0332339
三个 5 0.0166169
三年 3 0.0166169
三是 1 0.0166169
上 1 0.0332339
上下游 3 0.0166169
下 3 0.0332339
下载 2 0.0664677
不 1 0.0332339
不仅如此 1 0.0166169
不合理 1 0.0166169
不同 1 0.0419365
不同 5 0.0209682
不是 5 0.0166169
不能 3 0.0166169
不良 1 0.0166169
不错 3 0.0166169
专场 5 0.0166169
专家 2 0.0209682
专家 5 0.0209682
专科 5 0.0166169
专项基金 5 0.0332339
业务 5 0.0498508
